Channel,Minimum,Maximum,Mean,RMS,Variance,Standard Deviation,Power,Peak,Peak-to-Peak,Crest Factor,Skew,Kurtosis,Max_F,Sum_F,Mean_F,Variance_F,Peak_F,Skew_F,Kurtosis_F
2,-28.4385929107666,20.217966079711914,5.187988261212695e-09,2.989316940307617,8.935590744018555,2.989245891571045,8.936016082763672,28.4385929107666,48.656558990478516,9.513408406885125,-2.5778237867075537,20.16194482300071,8415.58656,893601.5980197138,8.936015980197137,12858.531308066194,8415.58656,31.94380932936583,1548.1780971654402
3,-18.74298667907715,10.861066818237305,-2.7465820728878043e-09,2.1798815727233887,4.751716136932373,2.1798431873321533,4.7518839836120605,18.74298667907715,29.604053497314453,8.598167402122215,-2.2886965358373286,12.887485006097796,4498.12064,475188.39849069156,4.751883984906915,3035.9762898513995,4498.12064,32.94844925990353,1773.1883001191964
4,-10.513015747070312,5.54164981842041,8.964538555922275e-10,1.0430513620376587,1.0879218578338623,1.0430349111557007,1.0879560708999634,10.513015747070312,16.054664611816406,10.079096897522431,-2.0599114453546123,14.364213276626135,913.476,108795.61650839928,1.0879561650839928,145.92806065151942,913.476,28.123137089014502,1245.4287899369153
5,-14.472053527832031,7.031379222869873,2.288818301554585e-10,1.1709001064300537,1.3709644079208374,1.1708818674087524,1.3710070848464966,14.472053527832031,21.503433227539062,12.359767881442712,-2.2486928758885387,14.641733892012638,1856.34048,137100.69663024653,1.3710069663024653,280.25903646267506,1856.34048,45.123854114926914,3657.95964852521
6,-15.331007957458496,7.083969593048096,3.051757735406113e-10,1.0932680368423462,1.1951873302459717,1.0932462215423584,1.1952348947525024,15.331007957458496,22.41497802734375,14.023100868967681,-1.8280190545473958,21.315312805112594,689.10008,119523.49495051993,1.1952349495051993,191.08328956791877,689.10008,25.299916881858245,867.9392962731995
7,-7.3382439613342285,6.283904552459717,-1.7166137400437265e-09,1.0784523487091064,1.163031816482544,1.078439474105835,1.1630594730377197,7.3382439613342285,13.622148513793945,6.804421141201104,-1.1352919246751247,5.229884110836531,1031.76416,116305.94973197667,1.1630594973197668,185.435967893018,1031.76416,31.687395978467183,1547.4882973376698
8,-13.367508888244629,29.280168533325195,-7.591247630500675e-09,3.0140883922576904,9.084339141845703,3.014023780822754,9.084729194641113,29.280168533325195,42.64767837524414,9.714435916523671,1.3884696221352772,8.625984424617,5742.4512,908472.8810947582,9.084728810947581,9739.609981785712,5742.4512,26.23177305266282,978.4967709846775
9,-14.231500625610352,10.236387252807617,-5.340576314516454e-10,0.9925289750099182,0.9850952625274658,0.9925196766853333,0.985113799571991,14.231500625610352,24.46788787841797,14.338624850189525,-1.3277553686288266,11.742710578292911,730.10112,98511.39045522158,0.9851139045522158,88.09548136692976,730.10112,28.947377709200588,1405.9613792168793
10,-7.833519458770752,7.392735004425049,6.294250676219804e-10,0.6866278052330017,0.47144702076911926,0.6866199970245361,0.4714577794075012,7.833519458770752,15.2262544631958,11.408683713460322,-0.933859096445309,9.336376964347862,438.093,47145.77172431699,0.4714577172431699,28.27602903687261,438.093,35.97257493604191,1942.2098401247692
11,-6.189517974853516,5.40604829788208,-9.536743617033494e-10,1.0027270317077637,1.0054312944412231,1.0027120113372803,1.005461573600769,6.189517974853516,11.595565795898438,6.172684867497816,-0.48847366276704035,2.53426580774872,914.2344,100546.1674584474,1.005461674584474,121.13094093723521,914.2344,33.53290695535421,1738.137254664088
12,-6.430573463439941,5.534132957458496,1.9836425835251248e-09,0.8026285767555237,0.6442046761512756,0.8026236295700073,0.6442126631736755,6.430573463439941,11.964706420898438,8.011891987990678,-0.6649133398515766,3.220180023433902,613.93392,64421.267462408185,0.6442126746240818,57.60539829340285,613.93392,36.946021885898595,2017.7881184223418
13,-14.020855903625488,11.860416412353516,-8.392334049922567e-10,1.54855477809906,2.3979835510253906,1.5485423803329468,2.398021936416626,14.020855903625488,25.881271362304688,9.054155591988096,-0.6480315860494876,5.999303881849544,1384.39168,239802.20831307772,2.398022083130777,582.3349036041127,1384.39168,28.752552544041304,1168.0832778068998
14,-3.5331146717071533,4.022642612457275,1.564025908784572e-09,0.5671274065971375,0.3216288089752197,0.567123293876648,0.321633517742157,4.022642612457275,7.555757522583008,7.093013960643917,0.18581221924341476,1.4664467728054627,177.0186,32163.35244699429,0.3216335244699429,7.8452973691778,177.0186,28.675851482032318,1185.8629442563686
15,-7.262763023376465,18.780439376831055,-3.280639537805996e-09,1.3263417482376099,1.759147047996521,1.3263283967971802,1.7591824531555176,18.780439376831055,26.043201446533203,14.159577953258092,0.12269826876429235,1.2741842972742887,5960.65024,175918.2721646328,1.759182721646328,1035.7220135271955,5960.65024,137.46429128363366,24052.06684384052
16,-4.192920207977295,6.38792610168457,1.754760781125242e-09,0.9243045449256897,0.8543170094490051,0.9242926836013794,0.8543388843536377,6.38792610168457,10.580846786499023,6.911062091767745,0.45105509195442206,2.285641713905452,1517.0976,85433.89747325814,0.8543389747325814,134.21308981145367,1517.0976,63.11256421110701,6617.706969600197
17,-5.86832857131958,8.247862815856934,-2.0599364436435508e-09,1.045851469039917,1.0937690734863281,1.0458341836929321,1.0938053131103516,8.247862815856934,14.116191864013672,7.886265937388226,0.39022275740921136,3.060312961057565,4246.23904,109380.53891538607,1.0938053891538608,533.3956626017459,4246.23904,133.31647978623195,23249.11866232186
18,-4.434433460235596,4.691249847412109,-6.866455182219511e-10,0.7475675344467163,0.5588434338569641,0.7475582957267761,0.5588572025299072,4.691249847412109,9.125682830810547,6.275352568492905,-0.053542374308933605,1.2630519483198528,623.15792,55885.728107579576,0.5588572810757958,71.58232554544713,623.15792,41.98892928065826,2296.239735720403
19,-3.372488260269165,2.796358823776245,3.051757735406113e-10,0.5950242280960083,0.35404616594314575,0.5950177907943726,0.3540538549423218,3.372488260269165,6.16884708404541,5.66781670565019,-0.09105706433545184,0.37908490456550004,259.13772,35405.39368225079,0.3540539368225079,15.008878670021222,259.13772,31.2888674521991,1304.7870632623149
20,-4.339155197143555,6.189018249511719,1.2207030941624453e-09,0.8702869415283203,0.7573888301849365,0.8702808618545532,0.7573993802070618,6.189018249511719,10.528173446655273,7.1114685906272666,0.20816911930932452,1.4939323157308628,737.86944,75739.94827868724,0.7573994827868724,85.79295617438059,737.86944,38.61571190626908,2085.6200830417865
21,-36.41136932373047,35.184593200683594,0.0,2.311924457550049,5.3449482917785645,2.3119144439697266,5.34499454498291,36.41136932373047,71.59596252441406,15.749376760482768,-0.007877065150661323,3.816095509611803,7106.44096,534499.4642063398,5.344994642063398,3004.226092415883,7106.44096,61.60288574438431,6394.874964464324
22,-3.010049819946289,6.876039981842041,1.5258788677030566e-10,0.6639971733093262,0.44088616967201233,0.6639925837516785,0.44089221954345703,6.876039981842041,9.886089324951172,10.355525984504162,0.2794291145121693,2.400711593164588,487.51104,44089.227520928136,0.44089227520928137,31.326585831104786,487.51104,38.15502094117611,2163.407019043864
23,-3.8868601322174072,5.270198822021484,-2.2125243859250077e-09,0.7728129625320435,0.5972286462783813,0.7728056907653809,0.5972398519515991,5.270198822021484,9.157058715820312,6.819501066278976,0.23389702269000798,1.197305789751594,677.78112,59723.99290028263,0.5972399290028263,60.50626337862132,677.78112,44.853060037613446,2729.5918357957357
24,-6.935123920440674,13.052204132080078,-3.662109282487336e-09,1.3269940614700317,1.760883092880249,1.3269827365875244,1.7609131336212158,13.052204132080078,19.987327575683594,9.835917515426532,0.24874934993284717,2.7881641715928467,2136.7248,176091.30797786394,1.7609130797786394,453.99971857993125,2136.7248,41.86264009029835,2849.6213097164045
